zpid,streetAddress,zipcode,city,state,price,dateSold,bathrooms,bedrooms,livingArea,yearBuilt,lotSize,homeType,homeStatus,daysOnZillow,brokerId,contactPhone,zestimate
71813633,3150 Excelsior Blvd APT 310,55416,Minneapolis,MN,199900.0,1146553200000,2.0,2.0,1062.0,1966,-1.0,CONDO,FOR_SALE,19,9457,9522303101,194892
1943733,1303 Yale Pl APT 7,55403,Minneapolis,MN,165000.0,1221634800000,1.0,2.0,1233.0,1900,21483.0,CONDO,FOR_SALE,209,35,7634637500,180653
71815870,3441 Portland Ave APT 3,55407,Minneapolis,MN,160000.0,1212390000000,1.0,2.0,941.0,1920,-1.0,CONDO,FOR_SALE,5,12920,9528292900,160416
98346077,3508 Emerson Ave S APT 101,55408,Minneapolis,MN,240000.0,1342681200000,1.0,2.0,1006.0,1925,-1.0,CONDO,FOR_SALE,6,13733,9529285563,237610
82646111,110 1st Ave NE UNIT F407,55413,Minneapolis,MN,230000.0,1383289200000,1.0,1.0,1025.0,1983,71438.0,CONDO,FOR_SALE,5,14185,6127778005,230501
82641925,1901 E Hennepin Ave UNIT 401,55413,Minneapolis,MN,319900.0,1249974000000,1.0,1.0,1346.0,1923,49000.0,CONDO,FOR_SALE,10,35,6128217400,315785
61621810,4501 Bryant Ave S APT 2,55419,Minneapolis,MN,229900.0,1442905200000,1.0,2.0,1000.0,1926,-1.0,CONDO,FOR_SALE,30,14185,6122508562,231166
88831627,730 N 4th St UNIT 703,55401,Minneapolis,MN,350000.0,1524034800000,2.0,2.0,988.0,2007,90827.0,CONDO,FOR_SALE,6,14185,7635768286,342063
82648605,2500 Blaisdell Ave APT 410,55404,Minneapolis,MN,115000.0,1354521600000,1.0,2.0,831.0,1959,33000.0,CONDO,FOR_SALE,180,13733,9529285563,121454
82651445,20 2nd St NE UNIT P1208,55413,Minneapolis,MN,295000.0,1212130800000,2.0,2.0,1272.0,1983,-1.0,CONDO,FOR_SALE,119,4395,6129205605,301530
71821984,3900 Harriet Ave APT 5A,55409,Minneapolis,MN,159900.0,1149663600000,1.0,2.0,899.0,1914,-1.0,CONDO,FOR_SALE,15,14185,9524311575,165062
71817622,404 Washington Ave N UNIT 504,55401,Minneapolis,MN,374900.0,1513778400000,1.0,1.0,1165.0,1903,-1.0,CONDO,FOR_SALE,117,14185,6127778005,365944
1991861,2928 Dean Pkwy APT 2D,55416,Minneapolis,MN,218000.0,0,2.0,2.0,1075.0,1960,20255.0,CONDO,FOR_SALE,12,4395,9528446000,219094
1991461,3151 Dean Ct # B501,55416,Minneapolis,MN,189000.0,1444719600000,1.0,1.0,700.0,1983,-1.0,CONDO,FOR_SALE,6,13733,9529285563,171027
2087683320,926 2nd St NE # 2,55413,Minneapolis,MN,229900.0,0,2.0,2.0,1350.0,1894,-1.0,CONDO,FOR_SALE,25,35,6128217400,239317
82641558,521 S 7th St UNIT 601,55415,Minneapolis,MN,359900.0,1160722800000,2.0,2.0,1126.0,1926,-1.0,CONDO,FOR_SALE,20,14185,9529600930,346500
71815415,2317 Humboldt Ave S APT 4,55405,Minneapolis,MN,369900.0,1330588800000,2.0,4.0,2656.0,1911,7096.0,CONDO,FOR_SALE,55,0,6122429318,450832
88835644,1204 Harmon Pl APT 3,55403,Minneapolis,MN,215000.0,861260400000,2.0,3.0,1265.0,1907,-1.0,CONDO,FOR_SALE,221,14185,6512033102,248712
2016969,2615 Park Ave APT 208,55407,Minneapolis,MN,96500.0,0,1.0,1.0,810.0,1930,-1.0,CONDO,FOR_SALE,117,14185,7635768286,113065
82642626,3120 12th Ave S # B104,55407,Minneapolis,MN,185000.0,0,2.0,2.0,1080.0,1928,6969.0,CONDO,FOR_SALE,67,14185,7634017653,179199
82644971,100 3rd Ave S UNIT 3203,55401,Minneapolis,MN,1875000.0,1219215600000,3.0,3.0,2365.0,2006,41010.0,CONDO,FOR_SALE,21,9457,6123616000,1817964
88834934,W Lake St,55416,Minneapolis,MN,374900.0,1403832600000,1.0,2.0,1493.0,2007,98520.0,CONDO,FOR_SALE,21,0,6128275847,396688
1935712,433 S 7th St APT 1815,55415,Minneapolis,MN,219000.0,1210316400000,2.0,2.0,1010.0,1985,-1.0,CONDO,FOR_SALE,106,14185,6128251000,215024
71817946,720 N 4th St UNIT 302,55401,Minneapolis,MN,549900.0,1425628800000,2.0,3.0,1751.0,2006,91040.0,CONDO,FOR_SALE,35,14185,6127778005,560245
2086112212,922 Lincoln Ave,55403,Minneapolis,MN,400000.0,0,3.0,2.0,1466.0,1989,-1.0,CONDO,FOR_SALE,6,12920,9528292900,412035
